Chemical formula,Tolerance factor,Lowest distortion,Stability [eV/atom],Label
BiTbO3,0.91,cubic,0.69,0
BiTcO3,0.99,orthorhombic,0.21,0
BiTeO3,0.83,cubic,0.59,0
BiThO3,0.84,cubic,0.74,0
BiTiO3,0.98,rhombohedral,0.21,0
BiTlO3,0.86,orthorhombic,0.05,0
BiTmO3,0.86,cubic,0.57,0
BiUO3,0.86,cubic,1.07,0
BiVO3,0.97,orthorhombic,0.01,1
BiWO3,0.96,cubic,0.54,0
BiYO3,0.86,cubic,0.66,0
BiYbO3,0.87,cubic,0.80,0
BiZnO3,0.92,orthorhombic,0.11,0
BiZrO3,0.93,orthorhombic,0.28,0
CaAcO3,0.77,cubic,0.71,0
CaAgO3,0.83,orthorhombic,0.06,0
CaAlO3,1.00,cubic,0.08,0
CaAsO3,1.02,orthorhombic,0.19,0
CaAuO3,0.83,orthorhombic,0.16,0
CaBO3,1.17,cubic,0.91,0
CaBaO3,0.70,cubic,1.13,0
CaBeO3,1.05,orthorhombic,0.43,0
CaBiO3,0.84,orthorhombic,-0.04,0
CaCdO3,0.83,orthorhombic,0.28,0
CaCeO3,0.86,cubic,0.70,0
CaCoO3,1.01,rhombohedral,0.04,0
CaCrO3,1.00,orthorhombic,0.05,0
CaCsO3,0.63,cubic,1.29,0
CaCuO3,0.94,rhombohedral,0.09,0
CaDyO3,0.81,orthorhombic,0.18,0
CaErO3,0.85,orthorhombic,0.17,0
CaEuO3,0.79,cubic,0.69,0
CaFeO3,0.98,rhombohedral,0.00,1
CaGaO3,0.96,rhombohedral,0.20,0
CaGdO3,0.83,cubic,0.55,0
CaGeO3,1.01,cubic,0.07,0
CaHfO3,0.92,orthorhombic,-0.09,0
CaHgO3,0.77,cubic,0.52,0
CaHoO3,0.84,orthorhombic,0.18,0
CaInO3,0.88,orthorhombic,0.19,0
CaIrO3,0.96,orthorhombic,0.02,1
CaKO3,0.70,cubic,1.51,0
CaLaO3,0.80,cubic,0.65,0
CaLiO3,0.90,cubic,0.62,0
CaLuO3,0.86,orthorhombic,0.16,0
CaMgO3,0.92,orthorhombic,0.26,0
CaMnO3,1.01,tetragonal,0.09,0
CaMoO3,0.95,orthorhombic,0.06,0
CaNaO3,0.80,orthorhombic,0.22,0
CaNbO3,0.94,orthorhombic,0.03,1
CaNdO3,0.82,cubic,0.70,0
CaNiO3,1.04,rhombohedral,0.13,0
CaNpO3,0.86,cubic,0.61,0
CaOsO3,0.99,orthorhombic,0.08,0
CaPaO3,0.84,rhombohedral,0.04,0
CaPbO3,0.89,orthorhombic,0.04,0
CaPdO3,0.96,orthorhombic,-0.10,0
CaPmO3,0.82,cubic,0.62,0
CaPrO3,0.86,cubic,0.67,0
CaPtO3,0.94,orthorhombic,0.05,0
CaPuO3,0.87,orthorhombic,-0.11,0
CaRbO3,0.66,cubic,1.48,0
CaReO3,0.96,orthorhombic,0.11,0
CaRhO3,0.97,orthorhombic,0.01,1
CaRuO3,0.96,orthorhombic,-0.02,1
CaSbO3,0.94,orthorhombic,0.12,0
CaScO3,0.90,orthorhombic,0.14,0
CaSiO3,1.08,rhombohedral,0.23,0
CaSmO3,0.82,cubic,0.60,0
CaSnO3,0.93,orthorhombic,0.02,1
CaSrO3,0.75,cubic,1.03,0
CaTaO3,0.94,orthorhombic,0.08,0
CaTbO3,0.90,cubic,0.53,0
CaTcO3,0.97,orthorhombic,-0.02,1
CaTeO3,0.82,orthorhombic,0.19,0
CaThO3,0.83,cubic,0.62,0
CaTiO3,0.97,orthorhombic,-0.05,0
CaTlO3,0.75,orthorhombic,0.17,0
CaTmO3,0.82,orthorhombic,0.17,0
CaUO3,0.85,cubic,0.62,0
CaVO3,0.98,orthorhombic,-0.01,1
CaWO3,0.95,orthorhombic,0.20,0
CaYO3,0.84,cubic,0.53,0
CaYbO3,0.83,cubic,0.66,0
CaZnO3,0.91,orthorhombic,0.26,0
CaZrO3,0.92,orthorhombic,-0.06,0
CdAcO3,0.76,orthorhombic,0.18,0
CdAgO3,0.82,orthorhombic,0.12,0
CdAlO3,0.99,orthorhombic,0.16,0
CdAsO3,1.00,orthorhombic,0.20,0
CdAuO3,0.82,orthorhombic,0.09,0
CdBO3,1.16,cubic,1.05,0
CdBaO3,0.70,orthorhombic,0.23,0
CdBeO3,1.04,cubic,0.61,0
CdBiO3,0.84,orthorhombic,0.01,1
CdCaO3,0.80,cubic,0.98,0
CdCeO3,0.85,cubic,0.86,0
CdCoO3,1.00,rhombohedral,0.14,0
CdCrO3,0.99,orthorhombic,0.14,0
CdCsO3,0.62,cubic,1.44,0
CdCuO3,0.93,orthorhombic,0.15,0
CdDyO3,0.80,cubic,0.69,0
CdErO3,0.84,cubic,0.65,0
CdEuO3,0.78,orthorhombic,0.27,0
CdFeO3,0.97,orthorhombic,0.08,0
CdGaO3,0.95,orthorhombic,0.21,0
CdGdO3,0.82,cubic,0.72,0
CdGeO3,1.00,orthorhombic,0.11,0
CdHfO3,0.91,rhombohedral,0.03,1
CdHgO3,0.76,cubic,0.64,0
CdHoO3,0.84,cubic,0.67,0
CdInO3,0.87,cubic,0.59,0
CdIrO3,0.95,orthorhombic,0.13,0
CdKO3,0.69,cubic,1.73,0
CdLaO3,0.79,cubic,0.80,0
CdLiO3,0.89,cubic,0.83,0
CdLuO3,0.85,cubic,0.60,0
CdMgO3,0.91,cubic,0.62,0
CdMnO3,1.00,orthorhombic,0.10,0
CdMoO3,0.94,rhombohedral,0.16,0
CdNaO3,0.79,cubic,1.27,0
CdNbO3,0.93,orthorhombic,0.15,0
CdNdO3,0.81,cubic,0.87,0
CdNiO3,1.03,orthorhombic,0.19,0
CdNpO3,0.85,cubic,0.58,0
CdOsO3,0.98,rhombohedral,0.16,0
CdPaO3,0.83,rhombohedral,-0.01,1
CdPbO3,0.88,orthorhombic,0.04,0
CdPdO3,0.95,orthorhombic,0.06,0
CdPmO3,0.81,cubic,0.78,0
CdPrO3,0.85,cubic,0.83,0
CdPtO3,0.93,orthorhombic,0.06,0
CdPuO3,0.86,orthorhombic,-0.04,0
CdRbO3,0.66,cubic,1.69,0
CdReO3,0.95,rhombohedral,0.18,0
CdRhO3,0.96,orthorhombic,0.10,0
CdRuO3,0.95,orthorhombic,0.10,0
CdSbO3,0.93,orthorhombic,0.11,0
CdScO3,0.89,orthorhombic,0.20,0
CdSiO3,1.07,tetragonal,0.29,0
CdSmO3,0.81,cubic,0.77,0
CdSnO3,0.92,orthorhombic,0.03,0
CdSrO3,0.74,orthorhombic,0.19,0
CdTaO3,0.93,rhombohedral,0.23,0
CdTbO3,0.89,cubic,0.71,0
CdTcO3,0.96,orthorhombic,0.12,0
CdTeO3,0.81,orthorhombic,0.18,0
CdThO3,0.82,cubic,0.75,0
CdTiO3,0.96,orthorhombic,0.05,0
CdTlO3,0.74,cubic,0.64,0
CdTmO3,0.81,cubic,0.63,0
CdUO3,0.84,orthorhombic,0.12,0
CdVO3,0.97,orthorhombic,0.05,0
CdWO3,0.93,cubic,0.28,0
CdYO3,0.84,cubic,0.70,0
CdYbO3,0.82,cubic,0.84,0
CdZnO3,0.90,orthorhombic,0.32,0
CdZrO3,0.91,orthorhombic,0.04,0
CeAcO3,0.74,cubic,1.09,0
CeAgO3,0.90,orthorhombic,0.00,1
CeAlO3,1.00,rhombohedral,-0.09,0
CeAsO3,0.98,orthorhombic,0.24,0
CeAuO3,0.80,orthorhombic,-0.02,1
CeBO3,1.08,cubic,0.92,0
CeBaO3,0.65,orthorhombic,0.26,0
CeBeO3,0.98,cubic,0.27,0
CeBiO3,0.80,cubic,0.70,0
CeCaO3,0.75,cubic,0.66,0
CeCdO3,0.77,orthorhombic,0.11,0
CeCoO3,0.97,orthorhombic,-0.04,0
CeCrO3,0.96,orthorhombic,-0.08,0
CeCuO3,1.00,orthorhombic,-0.07,0
CeDyO3,0.84,orthorhombic,0.04,0
CeErO3,0.85,orthorhombic,0.02,1
CeEuO3,0.83,cubic,0.72,0
CeFeO3,0.95,orthorhombic,-0.08,0
CeGaO3,0.96,orthorhombic,-0.04,0
CeGdO3,0.83,cubic,0.60,0
CeGeO3,0.96,orthorhombic,0.22,0
CeHfO3,0.92,orthorhombic,0.09,0
CeHgO3,0.74,orthorhombic,0.08,0
CeHoO3,0.84,orthorhombic,0.03,0
CeInO3,0.88,orthorhombic,0.00,1
CeIrO3,0.94,orthorhombic,0.09,0
CeKO3,0.67,orthorhombic,0.44,0
CeLaO3,0.80,cubic,0.89,0
CeLiO3,0.87,orthorhombic,0.26,0
CeLuO3,0.86,orthorhombic,0.01,1
CeMgO3,0.85,orthorhombic,0.12,0
CeMnO3,0.95,orthorhombic,-0.08,0
CeMoO3,0.93,orthorhombic,0.19,0
CeNaO3,0.77,cubic,0.71,0
CeNbO3,0.92,orthorhombic,0.19,0
CeNdO3,0.82,cubic,0.80,0
CeNiO3,0.97,orthorhombic,-0.04,0
CeNpO3,0.83,cubic,0.67,0
CeOsO3,0.95,orthorhombic,0.18,0
CePaO3,0.81,cubic,0.56,0
CePbO3,0.89,cubic,0.72,0
CePdO3,0.80,orthorhombic,-0.08,0
CePmO3,0.79,cubic,0.74,0
CePrO3,0.81,cubic,0.85,0
CePtO3,0.91,orthorhombic,0.07,0
CePuO3,0.84,cubic,0.72,0
CeRbO3,0.64,orthorhombic,0.29,0
CeReO3,0.96,orthorhombic,0.29,0
CeRhO3,0.94,orthorhombic,-0.06,0
CeRuO3,0.94,orthorhombic,0.04,0
CeSbO3,0.90,cubic,0.57,0
CeScO3,0.90,orthorhombic,-0.04,0
CeSiO3,1.00,tetragonal,0.42,0
CeSmO3,0.82,cubic,0.70,0
CeSnO3,0.93,orthorhombic,0.15,0
CeSrO3,0.70,cubic,1.01,0
CeTaO3,0.92,orthorhombic,0.30,0
CeTbO3,0.84,cubic,0.56,0
CeTcO3,0.94,orthorhombic,0.10,0
CeTeO3,0.82,cubic,0.76,0
CeThO3,0.83,cubic,0.72,0
CeTiO3,0.94,orthorhombic,-0.04,0
CeTlO3,0.85,orthorhombic,0.03,0
CeTmO3,0.85,orthorhombic,0.02,1
CeUO3,0.85,cubic,0.70,0
CeVO3,0.95,orthorhombic,-0.08,0
CeWO3,0.95,orthorhombic,0.37,0
CeYO3,0.84,cubic,0.53,0
CeYbO3,0.86,cubic,0.55,0
CeZnO3,0.84,orthorhombic,0.08,0
CeZrO3,0.92,orthorhombic,0.15,0
CoAcO3,0.64,rhombohedral,0.05,0
CoAgO3,0.66,cubic,1.11,0
CoAlO3,0.73,cubic,0.60,0
CoAsO3,0.72,cubic,0.65,0
CoAuO3,0.70,cubic,1.00,0
CoBO3,0.85,cubic,1.12,0
CoBaO3,0.59,rhombohedral,0.20,0
CoBeO3,0.88,cubic,0.88,0
CoBiO3,0.75,orthorhombic,0.43,0
CoCaO3,0.68,rhombohedral,0.13,0
CoCdO3,0.69,rhombohedral,0.22,0
CoCeO3,0.59,orthorhombic,0.14,0
CoCrO3,0.70,cubic,0.68,0
CoCuO3,0.73,cubic,0.71,0
CoDyO3,0.61,rhombohedral,0.12,0
CoErO3,0.62,cubic,1.19,0
CoEuO3,0.60,rhombohedral,0.24,0
CoFeO3,0.69,cubic,0.61,0
CoGaO3,0.70,cubic,0.80,0
CoGdO3,0.61,cubic,1.27,0
CoGeO3,0.85,cubic,0.55,0
CoHfO3,0.77,cubic,0.65,0
CoHgO3,0.65,cubic,1.16,0
CoHoO3,0.62,rhombohedral,0.12,0
CoInO3,0.64,cubic,1.20,0
CoIrO3,0.80,cubic,0.84,0
CoKO3,0.58,orthorhombic,0.14,0
CoLaO3,0.58,rhombohedral,0.10,0
CoLiO3,0.75,cubic,1.24,0
CoLuO3,0.63,cubic,1.12,0
CoMgO3,0.77,cubic,1.04,0
CoMnO3,0.85,cubic,0.73,0
CoMoO3,0.68,orthorhombic,0.15,0
CoNaO3,0.67,rhombohedral,0.29,0
CoNbO3,0.80,cubic,0.56,0
CoNdO3,0.60,rhombohedral,0.12,0
CoNiO3,0.71,cubic,0.77,0
CoNpO3,0.72,cubic,0.98,0
CoOsO3,0.83,cubic,0.62,0
CoPaO3,0.70,tetragonal,0.25,0
CoPbO3,0.75,rhombohedral,0.20,0
CoPdO3,0.81,cubic,0.93,0
CoPmO3,0.69,rhombohedral,0.12,0
CoPrO3,0.59,rhombohedral,0.10,0
CoPtO3,0.79,cubic,0.94,0
CoPuO3,0.73,cubic,0.95,0
CoRbO3,0.55,rhombohedral,0.14,0
CoReO3,0.70,cubic,0.57,0
CoRhO3,0.69,cubic,0.81,0
CoRuO3,0.81,cubic,0.69,0
CoSbO3,0.82,cubic,0.61,0
CoScO3,0.66,cubic,0.96,0
CoSiO3,0.91,cubic,0.52,0
CoSmO3,0.60,orthorhombic,0.19,0
CoSnO3,0.78,cubic,0.67,0
CoSrO3,0.63,rhombohedral,0.13,0
CoTaO3,0.80,cubic,0.55,0
CoTbO3,0.61,rhombohedral,0.12,0
CoTcO3,0.82,cubic,0.58,0
CoTeO3,0.69,cubic,0.71,0
CoThO3,0.69,cubic,1.19,0
CoTiO3,0.81,cubic,0.53,0
CoTlO3,0.62,rhombohedral,0.21,0
CoTmO3,0.62,cubic,1.16,0
CoUO3,0.71,cubic,0.79,0
CoVO3,0.82,cubic,0.49,0
CoWO3,0.69,cubic,0.58,0
CoYO3,0.62,rhombohedral,0.12,0
CoYbO3,0.62,orthorhombic,0.19,0
CoZnO3,0.76,cubic,0.96,0
CoZrO3,0.77,cubic,0.73,0
CrAcO3,0.55,rhombohedral,0.35,0
CrAgO3,0.54,cubic,1.22,0
CrAlO3,0.72,cubic,0.77,0
CrAsO3,0.73,cubic,0.81,0
CrAuO3,0.60,cubic,1.21,0
CrBO3,0.86,cubic,1.32,0
CrBaO3,0.50,orthorhombic,0.14,0
CrBeO3,0.75,cubic,0.95,0
CrBiO3,0.60,rhombohedral,0.33,0
CrCaO3,0.58,orthorhombic,0.21,0
CrCdO3,0.59,cubic,1.50,0
CrCeO3,0.68,rhombohedral,0.37,0
CrCoO3,0.81,cubic,0.93,0
CrCuO3,0.64,cubic,0.94,0
CrDyO3,0.58,cubic,1.47,0
CrErO3,0.61,cubic,1.43,0
CrEuO3,0.56,orthorhombic,0.22,0
CrFeO3,0.78,cubic,0.85,0
CrGaO3,0.69,cubic,0.97,0
CrGdO3,0.59,rhombohedral,0.34,0
CrGeO3,0.81,cubic,0.61,0
CrHfO3,0.74,cubic,0.59,0
CrHgO3,0.55,cubic,1.41,0
CrHoO3,0.60,cubic,1.44,0
CrInO3,0.63,cubic,1.28,0
CrIrO3,0.77,cubic,0.93,0
CrKO3,0.50,cubic,2.44,0
CrLaO3,0.57,rhombohedral,0.35,0
CrLiO3,0.64,cubic,1.28,0
CrLuO3,0.61,cubic,1.39,0
CrMgO3,0.66,cubic,1.44,0
CrMnO3,0.81,cubic,0.82,0
CrMoO3,0.76,orthorhombic,0.26,0
CrNaO3,0.57,orthorhombic,0.18,0
CrNbO3,0.75,orthorhombic,0.14,0
CrNdO3,0.58,rhombohedral,0.36,0
CrNiO3,0.83,cubic,0.96,0
CrNpO3,0.61,orthorhombic,0.23,0
CrOsO3,0.71,cubic,0.70,0
CrPaO3,0.60,rhombohedral,0.09,0
CrPbO3,0.71,orthorhombic,0.36,0
CrPdO3,0.77,cubic,0.99,0
CrPmO3,0.59,rhombohedral,0.36,0
CrPrO3,0.69,rhombohedral,0.37,0
CrPtO3,0.67,cubic,1.08,0
CrPuO3,0.62,orthorhombic,0.33,0
CrRbO3,0.47,cubic,2.60,0
CrReO3,0.77,cubic,0.53,0
CrRhO3,0.78,cubic,0.92,0
CrRuO3,0.77,cubic,0.78,0
CrSbO3,0.75,cubic,0.68,0
CrScO3,0.65,cubic,1.14,0
CrSiO3,0.87,cubic,0.55,0
CrSmO3,0.59,rhombohedral,0.35,0
CrSnO3,0.75,cubic,0.76,0
CrSrO3,0.54,orthorhombic,0.16,0
CrTaO3,0.75,orthorhombic,0.13,0
CrTbO3,0.72,orthorhombic,0.34,0
CrTcO3,0.70,cubic,0.57,0
CrTeO3,0.66,cubic,0.80,0
CrThO3,0.66,cubic,1.04,0
CrTiO3,0.78,orthorhombic,0.06,0
CrTlO3,0.53,orthorhombic,0.31,0
CrTmO3,0.59,cubic,1.36,0
CrUO3,0.68,cubic,0.56,0
CrVO3,0.79,cubic,0.64,0
CrWO3,0.76,orthorhombic,0.29,0
CrYO3,0.60,cubic,1.51,0
CrYbO3,0.59,orthorhombic,0.21,0
CrZnO3,0.65,cubic,1.18,0
CrZrO3,0.73,cubic,0.66,0
CsAcO3,0.92,cubic,0.30,0
CsAgO3,0.99,cubic,0.55,0
CsAlO3,1.21,cubic,0.68,0
CsAsO3,1.22,cubic,0.73,0
CsAuO3,1.00,tetragonal,0.41,0
CsBO3,1.41,cubic,1.82,0
CsBaO3,0.85,cubic,0.71,0
CsBeO3,1.27,cubic,1.17,0
CsBiO3,1.08,cubic,0.18,0
CsCaO3,0.97,cubic,0.77,0
CsCdO3,0.99,cubic,0.68,0
CsCeO3,1.00,cubic,0.38,0
CsCuO3,1.12,cubic,0.71,0
CsDyO3,0.97,cubic,0.38,0
CsErO3,1.02,cubic,0.38,0
CsEuO3,0.95,cubic,0.58,0
CsFeO3,1.13,tetragonal,0.29,0
CsGaO3,1.16,cubic,0.60,0
CsGdO3,1.00,rhombohedral,0.38,0
CsGeO3,1.15,tetragonal,0.19,0
CsHfO3,1.11,cubic,0.17,0
CsHgO3,0.93,cubic,0.60,0
CsHoO3,1.01,rhombohedral,0.38,0
CsInO3,1.06,orthorhombic,0.52,0
CsIrO3,1.15,tetragonal,0.24,0
CsKO3,0.84,cubic,1.25,0
CsLaO3,0.96,rhombohedral,0.35,0
CsLiO3,1.08,cubic,1.08,0
CsLuO3,1.03,cubic,0.38,0
CsMgO3,1.10,cubic,0.80,0
CsMoO3,1.16,tetragonal,0.15,0
CsNaO3,0.96,cubic,1.12,0
CsNbO3,1.15,tetragonal,0.08,0
CsNdO3,0.98,cubic,0.38,0
CsNpO3,1.03,rhombohedral,-0.06,0
CsOsO3,1.19,tetragonal,0.15,0
CsPaO3,1.01,orthorhombic,-0.30,0
CsPbO3,0.97,rhombohedral,0.27,0
CsPdO3,1.09,tetragonal,0.31,0
CsPmO3,0.98,cubic,0.38,0
CsPrO3,1.00,cubic,0.38,0
CsPtO3,1.13,tetragonal,0.28,0
CsPuO3,1.05,cubic,-0.05,0
CsRbO3,0.80,cubic,1.23,0
CsReO3,1.18,tetragonal,0.27,0
CsRhO3,1.16,tetragonal,0.22,0
CsRuO3,1.19,tetragonal,0.26,0
CsSbO3,1.17,tetragonal,0.18,0
CsScO3,1.09,rhombohedral,0.40,0
CsSiO3,1.30,cubic,1.05,0
CsSmO3,0.99,rhombohedral,0.38,0
CsSnO3,1.12,cubic,0.31,0
CsSrO3,0.90,cubic,0.77,0
CsTaO3,1.15,tetragonal,0.05,0
CsTbO3,1.04,cubic,0.38,0
CsTcO3,1.17,tetragonal,0.17,0
CsTeO3,1.08,tetragonal,0.12,0
CsThO3,1.00,tetragonal,0.21,0
CsTiO3,1.11,tetragonal,0.12,0
CsTlO3,0.89,orthorhombic,0.47,0
CsTmO3,0.99,rhombohedral,0.38,0
CsUO3,1.08,orthorhombic,0.01,1
CsVO3,1.15,cubic,0.60,0
CsWO3,1.15,tetragonal,0.09,0
CsYO3,1.01,cubic,0.38,0
CsYbO3,0.99,cubic,0.75,0
CsZnO3,1.09,cubic,0.77,0
CsZrO3,1.10,cubic,0.21,0
CuAcO3,0.58,rhombohedral,0.22,0
CuAgO3,0.62,orthorhombic,0.22,0
CuAlO3,0.76,cubic,0.56,0
CuAsO3,0.83,rhombohedral,0.15,0
CuAuO3,0.63,cubic,0.85,0
CuBO3,0.82,cubic,1.12,0
CuBaO3,0.53,orthorhombic,0.16,0
CuBeO3,0.80,cubic,0.86,0
CuBiO3,0.71,rhombohedral,0.10,0
CuCaO3,0.61,orthorhombic,0.17,0
CuCdO3,0.62,cubic,1.10,0
CuCeO3,0.63,rhombohedral,0.20,0
CuCoO3,0.78,cubic,0.56,0
CuCrO3,0.81,cubic,0.52,0
CuCsO3,0.48,cubic,1.68,0
CuDyO3,0.61,rhombohedral,0.27,0
CuErO3,0.64,cubic,1.09,0
CuEuO3,0.60,orthorhombic,0.10,0
CuFeO3,0.76,cubic,0.51,0
CuGaO3,0.73,cubic,0.75,0
CuGdO3,0.63,rhombohedral,0.27,0
CuGeO3,0.78,cubic,0.55,0
CuHfO3,0.70,cubic,0.60,0
CuHgO3,0.58,orthorhombic,0.31,0
CuHoO3,0.64,rhombohedral,0.26,0
CuInO3,0.67,cubic,0.96,0
CuIrO3,0.78,cubic,0.57,0
CuKO3,0.53,cubic,2.14,0
CuLaO3,0.60,rhombohedral,0.24,0
CuLiO3,0.68,cubic,1.20,0
CuLuO3,0.65,cubic,0.99,0
CuMgO3,0.69,cubic,1.00,0
CuMnO3,0.78,cubic,0.56,0
CuMoO3,0.76,rhombohedral,0.09,0
CuNaO3,0.61,cubic,1.75,0
CuNbO3,0.75,rhombohedral,0.07,0
CuNdO3,0.62,rhombohedral,0.30,0
CuNiO3,0.80,cubic,0.70,0
CuNpO3,0.65,cubic,0.62,0
CuOsO3,0.75,rhombohedral,0.05,0
CuPaO3,0.64,rhombohedral,-0.24,0
CuPbO3,0.61,rhombohedral,0.16,0
CuPdO3,0.68,cubic,0.70,0
CuPmO3,0.62,rhombohedral,0.22,0
CuPrO3,0.63,rhombohedral,0.23,0
CuPtO3,0.71,cubic,0.73,0
CuPuO3,0.66,cubic,0.52,0
CuRbO3,0.50,cubic,2.09,0
CuReO3,0.78,rhombohedral,0.20,0
CuRhO3,0.75,cubic,0.64,0
CuRuO3,0.78,orthorhombic,0.13,0
CuSbO3,0.77,rhombohedral,0.03,0
CuScO3,0.68,cubic,0.81,0
CuSiO3,0.82,cubic,0.56,0
CuSmO3,0.62,rhombohedral,0.27,0
CuSnO3,0.70,cubic,0.67,0
CuSrO3,0.57,orthorhombic,0.21,0
CuTaO3,0.75,orthorhombic,0.08,0
CuTbO3,0.66,rhombohedral,0.22,0
CuTcO3,0.74,rhombohedral,0.06,0
CuTeO3,0.63,rhombohedral,0.15,0
CuThO3,0.63,cubic,0.94,0
CuTiO3,0.75,orthorhombic,0.13,0
CuTlO3,0.56,rhombohedral,0.30,0
CuTmO3,0.62,rhombohedral,0.21,0
CuUO3,0.71,rhombohedral,0.01,1
CuVO3,0.79,orthorhombic,0.11,0
CuWO3,0.76,rhombohedral,0.22,0
CuYO3,0.64,rhombohedral,0.27,0
CuYbO3,0.62,orthorhombic,0.28,0
CuZnO3,0.69,cubic,0.91,0
CuZrO3,0.69,cubic,0.66,0
DyAcO3,0.70,cubic,1.55,0
DyAgO3,0.75,cubic,0.61,0
DyAlO3,0.91,orthorhombic,-0.03,0
DyAsO3,0.89,cubic,0.78,0
DyAuO3,0.75,cubic,0.77,0
DyBO3,1.06,cubic,0.84,0
DyBaO3,0.64,orthorhombic,0.27,0
DyBeO3,0.95,tetragonal,0.31,0
DyBiO3,0.76,cubic,1.14,0
DyCaO3,0.73,cubic,1.08,0
DyCdO3,0.75,cubic,0.82,0
DyCeO3,0.81,cubic,1.38,0
DyCoO3,0.88,orthorhombic,0.02,1
DyCrO3,0.87,orthorhombic,-0.04,0
DyCuO3,0.91,orthorhombic,0.05,0
DyErO3,0.77,cubic,0.87,0
DyEuO3,0.71,cubic,1.15,0
DyFeO3,0.86,orthorhombic,-0.03,0
DyGaO3,0.87,orthorhombic,0.02,1
DyGdO3,0.75,cubic,1.03,0
DyGeO3,0.95,cubic,0.61,0
DyHfO3,0.87,cubic,0.52,0
DyHgO3,0.70,cubic,0.93,0
DyHoO3,0.76,cubic,0.91,0
DyInO3,0.80,cubic,0.70,0
DyIrO3,0.91,cubic,0.76,0
DyKO3,0.63,orthorhombic,0.45,0
DyLaO3,0.72,cubic,1.35,0
DyLiO3,0.81,orthorhombic,0.33,0
DyLuO3,0.78,cubic,0.76,0
DyMgO3,0.83,orthorhombic,0.19,0
DyMnO3,0.95,orthorhombic,0.02,1
DyMoO3,0.90,cubic,0.62,0
DyNaO3,0.72,cubic,1.06,0
DyNbO3,0.88,cubic,0.61,0
DyNdO3,0.74,cubic,1.25,0
DyNiO3,0.88,orthorhombic,0.01,1
DyNpO3,0.78,cubic,1.09,0
DyOsO3,0.89,cubic,0.76,0
DyPaO3,0.76,cubic,0.94,0
DyPbO3,0.84,cubic,1.04,0
DyPdO3,0.91,orthorhombic,-0.02,1
DyPmO3,0.74,cubic,1.19,0
DyPrO3,0.82,cubic,1.31,0
DyPtO3,0.85,cubic,0.72,0
DyPuO3,0.79,cubic,1.12,0
DyRbO3,0.60,orthorhombic,0.48,0
DyReO3,0.91,cubic,0.79,0
DyRhO3,0.92,cubic,0.54,0
DyRuO3,0.91,cubic,0.59,0
DySbO3,0.81,cubic,0.98,0
DyScO3,0.82,orthorhombic,0.03,0
DySiO3,0.98,cubic,0.67,0
DySmO3,0.74,cubic,1.14,0
DySnO3,0.88,cubic,0.84,0
DySrO3,0.68,orthorhombic,0.26,0
DyTaO3,0.88,cubic,0.65,0
DyTbO3,0.85,cubic,0.99,0
DyTcO3,0.88,cubic,0.61,0
DyTeO3,0.77,cubic,1.13,0
DyThO3,0.78,cubic,1.06,0
DyTiO3,0.92,orthorhombic,0.02,1
DyTlO3,0.67,cubic,0.95,0
DyTmO3,0.74,cubic,0.83,0
DyUO3,0.80,cubic,1.07,0
DyVO3,0.93,orthorhombic,-0.03,0
DyWO3,0.89,cubic,0.74,0
DyYO3,0.76,cubic,0.95,0
DyYbO3,0.75,cubic,0.94,0
DyZnO3,0.82,orthorhombic,0.14,0
DyZrO3,0.87,cubic,0.61,0
ErAcO3,0.69,orthorhombic,0.21,0
ErAgO3,0.81,cubic,0.68,0
ErAlO3,0.90,orthorhombic,-0.02,1
ErAsO3,0.88,cubic,0.82,0
ErAuO3,0.75,cubic,0.85,0
ErBO3,1.05,cubic,0.81,0
ErBaO3,0.63,orthorhombic,0.28,0
ErBeO3,0.95,tetragonal,0.33,0
ErBiO3,0.72,cubic,1.23,0
ErCaO3,0.73,cubic,1.14,0
ErCdO3,0.74,cubic,0.90,0
ErCeO3,0.72,cubic,1.47,0
ErCoO3,0.87,orthorhombic,0.02,1
ErCrO3,0.86,orthorhombic,-0.03,0
ErCsO3,0.56,orthorhombic,0.55,0
ErCuO3,0.90,orthorhombic,0.05,0
ErDyO3,0.75,cubic,1.03,0
ErEuO3,0.74,cubic,1.24,0
ErFeO3,0.85,orthorhombic,-0.02,1
ErGaO3,0.86,orthorhombic,0.02,1
ErGdO3,0.74,cubic,1.12,0
ErGeO3,0.86,cubic,0.63,0
ErHfO3,0.83,cubic,0.60,0
ErHgO3,0.69,cubic,1.01,0
ErHoO3,0.76,cubic,0.99,0
ErInO3,0.79,cubic,0.78,0
ErIrO3,0.84,cubic,0.83,0
ErKO3,0.62,cubic,1.87,0
ErLaO3,0.72,cubic,1.44,0
ErLiO3,0.81,cubic,0.55,0
ErLuO3,0.77,cubic,0.84,0
ErMgO3,0.82,cubic,0.56,0
ErMnO3,0.85,orthorhombic,0.04,0
ErMoO3,0.83,cubic,0.69,0
ErNaO3,0.72,cubic,1.15,0
ErNbO3,0.82,cubic,0.69,0
ErNdO3,0.73,cubic,1.33,0
ErNiO3,0.87,orthorhombic,0.02,1
ErNpO3,0.77,cubic,1.18,0
ErOsO3,0.89,cubic,0.83,0
ErPaO3,0.75,cubic,1.00,0
ErPbO3,0.73,cubic,1.13,0
ErPdO3,0.81,cubic,0.54,0
ErPmO3,0.73,cubic,1.27,0
ErPrO3,0.73,cubic,1.40,0
